Time (ms),RMS Speed (m/s)
16183.33333333241,0.4830355
16241.666666665735,1.0187366
16245.8333333324,0.67350006
16283.333333332395,0.2183827
16304.166666665726,0.7137345
16308.333333332392,0.23659177
16395.833333332383,0.5677402
16420.83333333239,0.8632627
16491.666666665744,0.70435286
16499.99999999908,0.6576075
16512.499999999083,1.013199
16533.333333332423,0.48706153
16541.66666666576,0.7809165
16549.999999999094,0.732253
16558.33333333243,1.0647544
16566.666666665766,0.6256014
16570.833333332434,0.74294215
16599.99999999911,0.83402675
16620.833333332448,0.546153
16666.666666665795,0.6965143
16699.999999999138,0.48931277
16716.66666666581,0.5389981
16729.166666665813,0.56186694
16758.333333332488,0.15257822
16762.499999999156,0.61434174
16770.83333333249,0.15566537
16795.8333333325,0.15296496
16808.333333332503,0.9159154
16816.66666666584,0.41753408
16829.166666665842,0.3692365
16841.666666665846,0.9674512
16849.99999999918,0.7510747
